row_number,food,severity,flag_type,columns_to_review,current_WHO10,current_Intuitive7,current_Culinary9,current_NOVA4,current_natural_vs_transformed,transformation_score,suggested_direction,rationale,caption,aware_observed_food,blind_observed_food,action,confirmed_value,generation_notes
38,Breadstick,Review,Culinary category,Category_Culinary_9,Bakery wares and cereals,Grain,Snacks & Savory Junk,4,Transformed,65,Carbohydrates & Staples?,Breadsticks are bread/grain products; “Snacks & Savory Junk” may overstate snack/junk status.,"Several long, thin breadsticks are arranged neatly on a white plate.",Breadsticks,breadsticks,,,
39,Brioche,Likely issue,Culinary / NOVA-score,Category_Culinary_9; Transformation_score,Bakery wares and cereals,Grain,Desserts & Sweets,4,Transformed,88,Carbohydrates & Staples; lower score?,"Image is a plain brioche bun; not clearly dessert/sweet treat, though enriched bread is transformed.",A single golden-brown brioche bun sits on a white plate.,Brioche bun,Brioche roll,,,
75,Chicken wings,Likely issue,Culinary category,Category_Culinary_9,Meat,Animal protein,Composite Meals,3,Transformed,75,Animal Protein?,Glazed wings are still dominated by a single animal source rather than a composite meal.,A serving of glazed chicken wings is presented on a round white plate against a grey background.,Glazed chicken wings,glazed chicken wings,,,
86,Corn,Likely issue,WHO category,Category_WHO_10,Bakery wares and cereals,Vegetable,Carbohydrates & Staples,1,Natural,30,Vegetables?,Cooked corn kernels are treated as Vegetable in Intuitive7; WHO “Bakery wares and cereals” may be inconsistent with the item/image.,A white plate holds a mound of cooked yellow corn kernels on a grey background.,Cooked corn kernels,corn kernels,,,
92,Croissant,Likely issue,WHO / Culinary category,Category_WHO_10; Category_Culinary_9,Confectionery and sweets,Grain,Desserts & Sweets,4,Transformed,85,Bakery wares and cereals; Carbohydrates & Staples?,"Plain croissant is a bakery/grain item, not necessarily confectionery/dessert unless sweet-filled.",A single golden-brown croissant is centered on a plain white plate.,croissant,croissant,,,
126,Fried chicken,Likely issue,WHO / Culinary category,Category_WHO_10; Category_Culinary_9,Prepared foods,Animal protein,Composite Meals,3,Transformed,75,Meat; Animal Protein?,Image is fried chicken pieces; still dominated by a single animal source rather than a composite prepared meal.,Several pieces of golden-brown fried chicken are arranged on a white plate.,Fried chicken pieces,Assorted fried chicken pieces,,,
130,Fruit leather,High priority,Image/label mismatch + intuitive category,Category_Intuitive_7; image QC,Confectionery and sweets,Fruit,Desserts & Sweets,3,Transformed,90,Dessert? / regenerate or review image,"Blind and aware descriptions identify meat jerky, not fruit leather; if retained as fruit leather, Intuitive7 may be Dessert rather than Fruit.","Several flat, rectangular strips of a brown, processed food are stacked on a white plate.",Meat jerky strips,meat jerky strips,,,
136,Granola,Review,Culinary category,Category_Culinary_9,Bakery wares and cereals,Grain,Desserts & Sweets,4,Transformed,90,Carbohydrates & Staples?,Granola is a cereal/grain breakfast food; “Desserts & Sweets” may be too dessert-like unless the study wants sweet cereals grouped there.,"A white plate holds a serving of granola with nuts, seeds, and raisins.",Granola with nuts and dried fruit,"granola with nuts, seeds, and raisins",,,
137,Granola bar,Review,Culinary category,Category_Culinary_9,Bakery wares and cereals,Grain,Desserts & Sweets,4,Transformed,90,Carbohydrates & Staples or Snacks & Savory Junk?,"Granola bar is a sweet snack/cereal bar, but not necessarily a dessert.",A single granola bar with nuts and dried fruit is centered on a white plate.,Granola bar,granola bar with nuts and dried fruit,,,
157,Katsu,Likely issue,WHO / Intuitive / Culinary category,Category_WHO_10; Category_Intuitive_7; Category_Culinary_9,Prepared foods,Dish,Composite Meals,3,Transformed,80,Meat; Animal protein; Animal Protein?,"Caption says a single breaded/fried cutlet, not a composite dish.","A sliced, breaded and fried cutlet is served on a white plate.",Katsu cutlet,sliced breaded cutlet,,,
184,Meatballs,Review,WHO category,Category_WHO_10,Meat,Dish,Composite Meals,4,Transformed,90,Prepared foods?,Caption says meatballs in tomato sauce with garnish; may be a prepared/composite food rather than simply Meat.,"A white plate holds several meatballs in tomato sauce, garnished with cheese and parsley.",Meatballs in tomato sauce,meatballs in tomato sauce,,,
190,Muesli,Review,Culinary / NOVA,Category_Culinary_9; Category_NOVA_4,Bakery wares and cereals,Grain,Carbohydrates & Staples,4,Transformed,90,Carbohydrates & Staples; maybe NOVA 1/3?,Muesli with nuts/dried fruit is primarily a grain breakfast food; NOVA 4 may depend on whether it is sweetened/industrial.,"A white plate holds a serving of muesli with nuts, seeds, dried fruit, and milk.",Muesli with nuts and dried fruit,"muesli with nuts, seeds, and dried fruit",,,
208,Omelette,Likely issue,WHO / Culinary / natural-transformed,Category_WHO_10; Category_Culinary_9; natural_vs_transformed; Category_NOVA_4,Prepared foods,Animal protein,Composite Meals,3,Transformed,70,Dairy and eggs; Animal Protein; possibly Natural/NOVA1,"Plain folded omelette is egg-based, not necessarily a composite prepared food.",A plain folded omelette is presented on a simple white plate.,plain omelette,plain omelette,,,
216,Paneer,High priority,Image/label mismatch,image QC; possibly category labels if image retained,Dairy and eggs,Animal protein,Dairy,3,Transformed,60,Review image: looks like tofu in blind rating,"Expected paneer is dairy, but blind observer reported diced tofu; visual confusion could affect category validity.","A white plate holds a pile of plain, off-white food cubes on a grey background.",cubed tofu or paneer,diced tofu,,,
238,Plain Bagel,Review,NOVA consistency,Category_NOVA_4,Bakery wares and cereals,Grain,Carbohydrates & Staples,3,Transformed,60,Align with Bagel row?,"Duplicate-like item: “Bagel” is NOVA4, “Plain Bagel” is NOVA3. One of these may need harmonising.",A single plain bagel is centered on a white plate against a grey background.,plain bagel,plain bagel,,,
270,Rice (white),Likely issue,Natural/transformed / NOVA,natural_vs_transformed; Category_NOVA_4; Transformation_score,Bakery wares and cereals,Grain,Carbohydrates & Staples,1,Transformed,60,Natural? NOVA1? lower score,Plain cooked white rice is usually minimally processed/cooked single-source food; current score 60/Transformed seems high.,A serving of plain white rice is presented on a white plate against a grey background.,plain white rice,cooked white rice,,,
273,Roast beef,Likely issue,NOVA,Category_NOVA_4,Meat,Animal protein,Animal Protein,3,Natural,30,1?,Plain sliced roast beef is cooked meat; NOVA3 may be too processed if not cured/deli meat.,Several slices of medium-rare roast beef are arranged on a white plate with some jus.,sliced roast beef,sliced roast beef,,,
274,Roast chicken,Likely issue,NOVA,Category_NOVA_4,Meat,Animal protein,Animal Protein,3,Natural,35,1?,Plain roasted chicken leg quarter is cooked single-source meat; NOVA3 may be too processed.,A single roasted chicken leg quarter is served on a white plate.,roasted chicken leg quarter,roasted chicken leg quarter,,,
275,Roast lamb,Likely issue,Intuitive/Culinary/WHO due image composition,Category_WHO_10; Category_Intuitive_7; Category_Culinary_9,Meat,Animal protein,Animal Protein,1,Natural,30,Prepared foods / Dish / Composite Meals?,"Caption includes roast lamb with potatoes and carrots, making the image more like a plated meal than a single animal-protein item.",Sliced roast lamb with roasted potatoes and carrots is served on a white plate.,Roast lamb with potatoes and carrots,sliced roasted lamb with roasted potatoes and carrots,,,
289,Scone,Review,WHO / Intuitive category,Category_WHO_10; Category_Intuitive_7,Bakery wares and cereals,Grain,Desserts & Sweets,4,Transformed,88,Confectionery and sweets? Dessert?,The image is a scone with jam and cream; that may function more like a sweet dessert/treat than plain grain/bakery.,A single scone filled with jam and cream sits on a white plate against a grey background.,scone with jam and cream,scone with jam and cream,,,
332,Tomato soup,Review,NOVA,Category_NOVA_4,Prepared foods,Dish,Composite Meals,4,Transformed,75,3?,A plain bowl of soup looks like a prepared dish; NOVA4 may be too high unless packaged/industrial soup is intended.,"A white bowl of smooth, reddish-orange soup is presented on a matching saucer.",tomato soup,tomato soup,,,
333,Tortilla (corn),Likely issue,NOVA consistency,Category_NOVA_4,Bakery wares and cereals,Grain,Carbohydrates & Staples,1,Transformed,60,3?,"Natural_vs_transformed is Transformed and score is 60, but NOVA is 1; likely internally inconsistent.",A stack of plain corn tortillas is served on a white plate.,corn tortillas,corn tortillas,,,
336,Tuna,Likely issue,NOVA,Category_NOVA_4,Fish,Animal protein,Animal Protein,3,Natural,45,1?,"Caption is seared tuna slices, not canned/processed tuna; NOVA3 may be too processed.",Slices of seared tuna are arranged in a row on a white plate.,sliced seared tuna,sliced seared tuna steak,,,
343,Waffle,Review,Culinary category,Category_Culinary_9,Bakery wares and cereals,Grain,Desserts & Sweets,4,Transformed,90,Carbohydrates & Staples or Desserts & Sweets?,Plain waffle could be grain/bakery unless served sweet; current dessert grouping may be study-dependent.,"A single, plain waffle is centered on a white plate against a grey background.",Plain waffle,a plain waffle,,,
349,Yogurt (plain),Review,Natural/transformed terminology,natural_vs_transformed,Dairy and eggs,Animal protein,Dairy,1,Transformed,60,Natural? or keep Transformed by fermentation rule,Plain yogurt can be NOVA1 but is marked Transformed; this may be intended because the prompt calls yogurt biochemically transformed.,"A dollop of thick, white, creamy food is swirled on a white plate.",Plain yogurt,plain yogurt,,,
41,Broccoli (raw),Review,Image/QC mismatch,image QC,Vegetables,Vegetable,Produce - Savory,1,Natural,5,Review image,Blind observer saw steamed broccoli despite raw label.,A white plate holds several fresh broccoli florets against a plain grey background.,raw broccoli florets,steamed broccoli florets,,,
97,Custard,Review,Image/QC mismatch,image QC,Confectionery and sweets,Dessert,Desserts & Sweets,3,Transformed,90,Review image,"Blind observer reported creamy yellow soup, not custard.","A white bowl of smooth, pale yellow cream or custard sits on a matching saucer.",yellow custard or pudding,creamy yellow soup,,,
161,Kohlrabi,Review,Image/QC mismatch,image QC,Vegetables,Vegetable,Produce - Savory,1,Natural,5,Review image,Blind observer reported daikon radish; possible visual identity issue.,Sliced and julienned raw root vegetable is arranged on a white plate.,Sliced and julienned raw kohlrabi,sliced and julienned daikon radish,,,
193,Mulberry,Review,Image/QC mismatch,image QC,Fruits,Fruit,Produce - Sweet,1,Natural,5,Review image,Blind observer reported blackberries; similar-looking but distinct food.,"A white plate holds a pile of fresh, dark purple mulberries on a grey background.",mulberries,blackberries,,,
196,Mustard greens,Review,Image/QC mismatch,image QC,Vegetables,Vegetable,Produce - Savory,1,Natural,5,Review image,Blind observer reported cooked spinach; possible green-leaf identity issue.,A serving of cooked leafy greens is presented on a white plate against a grey background.,Cooked leafy greens,cooked spinach,,,
211,Orange,Review,Image/QC mismatch,image QC,Fruits,Fruit,Produce - Sweet,1,Natural,5,Review image,Blind observer reported mandarin orange segments; close but maybe wrong target.,Peeled orange segments are arranged in a circle on a white plate.,Orange segments,peeled mandarin orange segments,,,
280,Rye,Review,Image/QC mismatch,image QC,Bakery wares and cereals,Grain,Carbohydrates & Staples,1,Natural,15,Review image,Blind observer reported cooked wheat berries; could undermine grain identity.,A serving of cooked whole grains is presented on a simple white plate.,cooked rye berries,cooked wheat berries,,,
300,Sorghum,Review,Image/QC mismatch,image QC,Bakery wares and cereals,Grain,Carbohydrates & Staples,1,Natural,15,Review image,Blind observer reported cooked buckwheat groats; possible grain identity issue.,A mound of cooked whole grains is served on a white plate.,cooked sorghum,cooked buckwheat groats,,,
302,Soursop,Review,Image/QC mismatch,image QC,Fruits,Fruit,Produce - Sweet,1,Natural,5,Review image,Blind observer reported sugar-apple; similar but not same food.,"Sliced pieces of a white, fleshy fruit with black seeds are on a white plate.",Sliced soursop,sliced sugar-apple,,,
315,Sweet and sour chicken,Review,Image/QC mismatch,image QC,Prepared foods,Dish,Composite Meals,4,Transformed,75,Review image,"Blind observer reported sweet and sour pork, not chicken.","Fried, battered meat with pineapple and peppers in a red sauce is served on a white plate.",sweet and sour chicken,sweet and sour pork with pineapple and bell peppers,,,
338,Turnip,High priority,Image/QC mismatch,image QC,Vegetables,Vegetable,Produce - Savory,1,Natural,5,Review/regenerate image,Blind observer reported roasted potato cubes rather than turnip.,"A serving of roasted, cubed root vegetables is presented on a white plate.",roasted turnip cubes,roasted potato cubes,,,
345,Water chestnut,High priority,Image/QC mismatch + NOVA,image QC; Category_NOVA_4,Vegetables,Vegetable,Produce - Savory,3,Natural,10,Review/regenerate image; NOVA1?,"Blind observer reported pickled garlic bulbs; if actually peeled water chestnut, NOVA3 also seems too processed for score 10.",One whole and one halved peeled white vegetable are arranged on a white plate.,Peeled water chestnuts,Pickled garlic bulbs,,,
348,Yam,Review,Image/QC mismatch,image QC,Vegetables,Vegetable,Carbohydrates & Staples,1,Natural,5,Review image,Blind observer reported steamed taro chunks; possible tuber identity issue.,"Several pieces of a cooked, fibrous root vegetable are served on a white plate.",Cooked yam pieces,steamed taro chunks,,,
