filename,human_calorie_density,human_healthiness,human_appeal,human_sweetness,human_saltiness,human_sourness,human_bitterness,human_savoriness,human_fattiness,human_spiciness,human_familiarity
lobster.png,49.53,64.16,63.11,24.17,27.67,5.06,5.94,39.61,20.61,10.28,3.68
lollipop.png,70.0,14.84,54.32,90.28,4.8,6.68,2.28,8.56,13.12,3.16,3.68
lotus-root.png,29.56,62.06,36.56,8.25,7.5,5.25,4.25,1.75,3.5,0.5,2.12
lychee.png,36.86,70.55,68.0,75.0,7.6,18.8,8.4,7.67,6.93,6.6,3.0
mac-and-cheese.png,81.29,30.0,56.06,11.71,51.21,8.21,7.93,43.64,44.86,9.07,3.65
macaroni-pasta.png,63.05,43.09,52.73,12.0,26.14,8.73,7.45,30.59,19.5,8.82,3.91
mackerel.png,48.96,78.92,45.73,12.0,50.75,12.45,12.4,46.1,34.2,10.8,3.35
mandarin.png,35.68,83.68,81.74,71.89,6.37,31.16,12.05,8.89,6.05,4.89,4.53
mango-raw.png,44.83,80.83,67.5,72.83,3.0,22.0,4.75,20.17,8.0,0.75,4.17
matzo.png,37.88,57.71,38.08,7.08,34.0,1.58,8.08,30.92,6.33,1.33,2.42
meatballs.png,73.91,44.5,72.18,18.79,43.95,4.21,3.11,61.26,42.21,12.63,3.64
meatloaf.png,67.19,44.35,51.04,35.57,27.9,6.9,5.9,49.14,32.86,7.24,3.31
microgreens.png,10.32,84.5,37.14,9.5,7.3,10.0,23.6,8.0,1.3,3.4,2.45
milk-chocolate.png,85.27,26.14,78.86,92.05,12.18,8.18,14.55,19.68,33.95,9.86,4.27
miso-soup.png,48.5,72.32,62.32,28.35,54.53,29.0,25.71,59.65,29.71,25.18,3.5
mortadella.png,65.83,33.96,42.0,6.67,64.93,3.6,7.67,41.4,56.47,14.0,2.83
muesli.png,58.42,75.74,62.68,39.4,14.13,8.67,10.13,29.47,14.6,6.8,3.63
muffin-english.png,51.75,45.3,62.2,23.47,23.88,2.71,1.06,25.0,13.41,2.71,3.5
muffin.png,76.64,32.11,73.21,80.79,10.43,9.68,4.14,12.04,22.89,3.79,3.89
mulberry.png,30.03,85.55,80.72,65.91,4.04,20.04,9.22,11.04,5.61,3.74,3.66
mushrooms-button.png,35.36,79.36,62.64,9.15,21.45,9.35,12.2,33.5,10.7,8.75,4.09
mussels.png,36.47,59.06,48.76,20.0,33.9,10.2,7.6,45.2,14.0,7.6,2.94
mustard-greens.png,27.71,85.29,49.92,9.58,32.0,11.84,18.0,35.26,11.47,10.79,3.42
naan.png,65.47,42.37,72.32,17.61,33.33,8.0,6.78,36.72,25.56,6.22,3.74
nachos.png,75.96,35.92,70.31,11.52,48.04,13.04,2.09,43.96,36.48,38.04,3.77
napa-cabbage.png,19.81,92.44,55.06,19.94,13.5,12.38,17.88,16.88,15.25,10.88,4.06
nasi-goreng.png,76.22,49.04,73.04,21.96,51.71,12.88,11.42,50.71,47.25,29.96,3.7
navy-beans.png,46.6,74.2,42.12,14.18,18.82,6.41,6.41,29.82,13.71,8.65,3.04
nectarine.png,35.29,84.43,80.81,77.05,1.21,14.68,2.32,7.05,0.95,0.68,4.0
noodles-wheat.png,68.65,53.05,58.85,20.12,37.06,12.71,13.06,41.0,29.0,17.06,3.85
oats.png,47.48,76.38,47.29,22.16,11.53,3.47,6.84,17.0,7.21,1.74,3.62
octopus.png,56.05,60.95,45.86,20.42,36.25,17.67,11.33,55.08,29.58,18.25,2.81
okra.png,33.8,81.8,41.0,17.11,24.22,13.78,22.39,33.89,20.0,20.83,3.36
olive.png,39.78,70.67,54.28,4.06,64.59,14.88,19.47,37.18,10.82,1.59,3.67
omelette.png,47.33,66.29,57.33,26.89,34.22,10.22,9.39,43.0,23.78,11.28,3.52
onion-prepared.png,39.91,59.26,56.57,27.95,28.91,9.18,9.14,51.32,16.36,14.82,4.17
onion-raw.png,25.06,74.12,43.38,15.44,12.56,14.56,24.06,19.69,7.25,15.94,4.19
orange.png,19.71,85.59,79.12,74.0,1.94,31.47,15.53,7.24,0.24,0.06,4.35
oysters.png,53.15,64.77,55.62,4.73,49.18,10.91,15.09,53.45,18.27,8.27,3.38
pad-thai.png,68.05,56.9,77.67,36.15,60.62,26.77,15.62,58.85,37.92,36.15,3.1
paella.png,73.05,46.14,67.1,12.31,42.69,4.5,1.12,57.69,33.38,38.88,3.1
pancake.png,71.0,37.35,76.68,64.73,13.5,5.17,3.33,20.77,36.03,4.57,4.1
paneer.png,39.43,73.0,45.39,12.67,19.61,5.06,6.61,28.72,19.06,8.28,3.65
papaya.png,37.76,84.88,69.4,74.57,12.67,14.19,13.71,18.33,13.19,9.0,3.64
parsnip.png,39.77,60.85,38.42,37.33,57.17,18.83,18.5,49.33,61.83,34.67,1.96
passionfruit.png,32.68,78.0,54.45,65.15,18.38,37.38,18.38,18.46,15.69,14.31,3.0
pasta-spaghetti.png,58.0,39.05,64.57,14.81,22.43,7.71,4.43,25.38,21.05,9.71,4.38
pastry.png,78.0,44.56,71.62,72.5,29.5,21.2,23.3,26.7,37.2,18.5,2.69
peach-prepared.png,57.38,47.08,55.96,63.0,4.75,10.08,1.17,5.5,9.83,1.83,2.42
peach-raw.png,41.72,82.06,81.72,74.33,5.0,21.39,8.61,16.22,7.5,5.39,4.28
pear-prepared.png,59.57,48.61,52.96,70.29,20.14,12.86,6.86,16.0,16.07,12.36,2.96
pear-raw.png,30.38,85.67,73.71,67.57,6.86,13.19,8.43,11.76,6.05,5.29,3.9
peas.png,23.57,88.52,42.67,25.71,17.0,3.1,12.38,18.67,1.33,0.86,3.9
penne.png,59.48,49.67,68.0,13.33,30.52,10.15,9.56,28.89,26.85,13.37,4.22
persimmon.png,29.03,77.62,49.86,46.62,6.69,8.69,4.5,10.44,2.44,1.12,2.83
pesto-chicken.png,50.84,58.68,63.37,7.44,47.33,6.67,7.33,60.11,16.44,6.33,2.63
pesto-pasta.png,59.83,50.0,64.65,10.65,36.15,7.85,8.55,43.6,19.7,15.7,3.7
pho.png,54.38,60.54,65.29,13.33,42.33,12.33,6.0,61.22,28.11,22.11,3.17
pickled-cucumber.png,26.95,60.14,48.43,18.85,51.4,41.75,22.35,25.25,2.2,4.3,3.81
pineapple-prepared.png,42.32,81.95,70.89,68.89,13.32,36.16,13.63,15.89,12.58,7.95,3.89
pineapple-raw.png,34.47,79.68,67.37,77.89,11.89,31.95,12.21,7.63,5.42,4.53,4.42
pinto-beans.png,53.82,75.55,51.55,11.0,20.16,3.11,4.53,42.74,19.95,5.58,3.82
pita.png,60.64,38.12,53.64,13.67,27.75,11.33,8.83,29.5,17.58,8.58,2.52
pizza.png,85.36,30.32,90.09,14.14,42.57,6.71,2.62,61.57,51.86,11.29,4.23
plain-bagel.png,64.75,47.3,71.8,25.84,20.95,8.05,5.05,15.47,16.32,4.21,3.95
plantain.png,55.33,57.5,65.33,67.62,19.38,15.85,14.31,22.31,21.08,20.54,3.17
plum-prepared.png,48.55,58.77,40.05,75.09,14.82,26.36,23.27,20.64,17.64,12.45,2.45
plum-raw.png,31.89,85.7,74.33,62.5,10.27,24.5,12.65,9.31,12.81,8.31,4.0
polenta-cake.png,81.17,26.96,70.92,67.64,15.29,14.43,6.86,22.07,26.64,7.0,3.0
polenta.png,53.81,57.38,51.33,27.15,29.31,13.08,14.0,28.46,32.54,12.23,2.67
pomegranate.png,37.3,83.75,68.05,69.35,2.71,26.82,16.24,14.0,2.35,1.12,3.85
popcorn.png,42.65,48.19,70.04,27.38,57.85,3.35,1.04,23.69,15.42,10.88,4.35
pork-chop.png,75.23,60.0,74.27,14.75,50.25,13.55,14.5,55.8,60.8,23.1,3.95
portobello-mushrooms.png,35.42,76.65,63.0,13.24,19.4,7.08,8.24,47.4,15.4,5.84,3.92
potato-chips.png,76.82,22.29,72.47,6.24,68.12,6.47,5.65,34.24,43.35,16.88,4.24
potato-prepared.png,64.52,49.39,69.61,6.13,41.48,3.35,4.78,45.43,24.0,12.04,4.22
potato-salad.png,62.95,53.95,51.68,26.42,30.92,13.17,2.42,25.92,33.92,14.08,2.95
prawns.png,56.32,61.68,69.53,16.5,51.72,8.67,11.11,53.39,23.94,18.72,3.79
pretzel.png,62.5,41.2,70.65,17.37,57.11,7.0,4.37,27.68,20.42,5.53,3.65
prosciutto.png,69.26,38.58,59.89,10.5,55.25,8.5,5.42,62.25,51.83,6.0,3.05
prune.png,37.19,79.76,48.19,54.29,2.36,6.43,1.0,12.36,8.93,0.43,3.05
pudding.png,57.59,42.71,56.06,58.91,15.55,4.82,2.0,14.55,26.91,0.73,3.0
puff-pastry.png,74.5,34.75,67.9,38.56,32.17,8.94,10.61,43.83,36.0,23.94,3.65
pumpkin-pie.png,75.89,33.06,66.11,77.0,13.0,5.59,2.24,15.24,27.76,3.94,3.78
pumpkin-soup.png,55.89,64.32,53.53,35.31,22.54,8.46,5.85,34.92,20.69,12.69,2.89
pumpkin.png,40.85,66.3,61.55,43.19,5.75,3.0,4.56,20.69,6.56,4.94,3.4
quail-eggs.png,39.57,64.76,49.38,4.42,18.67,1.67,1.0,17.67,14.58,0.0,2.71
quesadilla.png,73.67,34.44,67.67,11.93,50.47,3.2,1.53,51.93,38.2,20.2,3.33
quinoa.png,45.92,74.85,52.15,10.94,10.94,2.06,1.82,19.12,3.76,3.47,3.0
radicchio.png,17.7,88.7,34.78,12.62,7.62,7.54,25.38,17.31,7.0,6.92,2.74
radish.png,25.81,88.62,48.76,13.53,10.73,11.53,23.6,23.93,1.73,9.13,3.29
raisin.png,51.25,67.85,57.1,64.25,3.35,9.0,0.5,2.8,4.9,0.25,3.9
ramen.png,74.55,35.18,79.0,17.27,56.64,14.91,8.82,66.18,25.73,28.36,3.91
raspberry.png,35.79,88.53,90.05,64.5,1.72,35.17,6.67,6.39,2.0,0.33,4.11
rendang.png,73.92,49.19,57.42,15.12,40.75,11.19,7.94,61.38,51.12,29.56,2.96
rice-brown.png,49.75,63.9,56.35,7.16,12.84,0.53,3.42,31.42,12.26,0.79,4.3
rice-noodles.png,43.57,58.24,56.1,4.24,10.53,2.12,0.94,26.24,9.65,0.71,3.71
rice-white.png,58.5,56.9,61.7,21.1,12.85,1.55,2.0,21.15,6.65,0.55,4.8
risotto.png,67.6,54.56,61.88,19.75,46.44,12.81,12.88,42.94,35.25,20.69,3.2
roast-beef.png,71.21,45.84,76.74,7.61,34.17,2.17,0.72,65.33,46.11,5.28,3.95
roast-chicken.png,58.72,58.67,74.61,9.82,46.29,8.12,8.53,57.24,39.06,16.71,4.39
roast-lamb.png,69.13,45.74,70.09,11.1,37.55,1.6,5.6,57.8,47.3,3.0,3.78
rocket-arugula.png,20.85,88.2,35.2,8.58,5.25,13.33,30.08,18.67,3.08,7.67,2.95
rockmelon-cantaloupe.png,21.35,87.83,73.3,70.78,1.65,3.0,3.87,8.35,1.26,0.04,4.04
rogan-josh.png,72.54,39.75,59.75,12.65,39.76,10.71,10.12,63.71,58.06,48.76,2.96
roti.png,54.12,52.35,60.24,15.57,25.0,8.0,8.43,22.0,11.07,9.29,3.65
rye.png,36.46,76.79,33.83,19.12,24.0,19.0,17.62,21.5,17.62,15.0,2.17
salami.png,72.72,33.83,66.5,8.88,61.5,10.94,10.62,48.62,53.5,22.69,3.56
salmon.png,47.71,78.67,69.29,5.76,32.62,2.76,2.43,53.0,28.95,7.19,4.14
sandwich.png,65.37,53.93,71.83,13.39,37.25,9.46,7.46,48.39,29.57,12.46,3.87
sardines.png,49.61,66.0,38.3,11.0,45.38,9.12,13.5,49.12,36.62,8.56,3.09
sashimi.png,47.65,79.3,54.2,15.88,31.06,12.69,10.88,52.75,46.38,6.19,3.4
satay.png,70.65,50.95,68.4,17.5,54.12,19.0,14.5,57.56,38.62,33.75,3.5
sausage.png,77.88,41.88,65.88,8.2,52.44,3.68,1.88,56.96,56.76,25.64,3.92
scallops.png,52.9,48.62,75.05,20.61,37.94,6.67,6.67,56.89,33.56,10.83,3.57
scone.png,71.5,26.0,62.28,71.82,21.55,6.27,1.45,27.64,25.09,1.45,2.78
seaweed.png,34.67,68.33,52.88,11.65,64.0,15.82,13.88,46.53,12.18,10.29,3.17
shallot.png,26.17,78.38,51.33,18.78,9.3,13.96,19.87,26.39,4.87,24.87,4.42
shepherds-pie.png,73.63,42.42,58.84,16.8,39.8,7.07,3.73,49.67,44.67,24.0,3.42
shiitake-mushrooms.png,29.0,76.2,54.3,7.35,19.18,1.71,3.65,34.65,13.29,6.12,3.8
shrimp-spring-rolls.png,59.25,40.69,66.62,9.36,41.73,3.36,6.18,38.27,17.55,13.09,2.88
shrimp.png,58.67,66.17,67.75,19.3,41.9,10.7,15.85,53.3,33.95,24.55,3.83
snapper.png,59.77,76.17,64.77,15.62,40.08,8.96,6.27,52.31,36.15,21.12,3.8
snow-peas.png,14.83,83.42,38.25,13.5,18.1,12.1,21.1,13.7,9.6,8.8,3.33
soba-noodles.png,42.96,54.75,51.88,17.88,23.47,11.65,15.29,26.18,15.35,16.82,3.25
sorbet.png,71.65,34.35,74.6,84.6,9.65,25.5,11.15,13.95,30.1,9.45,4.05
sorghum.png,34.35,69.71,28.47,10.88,21.25,8.0,6.0,24.62,17.38,12.0,2.47
sourdough.png,49.65,55.96,59.46,17.08,16.35,7.73,1.96,13.54,6.77,0.46,4.38
soursop.png,28.08,63.69,44.38,45.4,22.0,40.6,18.6,32.0,21.6,13.4,2.0
spaghetti-bolognese.png,72.29,43.17,66.67,18.68,46.89,11.95,4.53,62.53,27.84,18.32,3.46
spinach-prepared.png,18.26,86.52,54.0,6.45,22.1,3.8,19.3,19.7,7.05,2.5,4.0
spinach-raw.png,20.48,92.9,50.95,6.05,9.42,5.11,20.95,23.26,2.53,1.63,4.0
split-peas.png,64.55,58.7,39.5,22.36,29.55,3.82,1.82,32.0,18.36,7.18,2.75
spring-rolls.png,68.96,40.92,79.64,13.57,41.87,6.91,4.17,56.7,38.17,14.61,3.84
squid.png,45.5,64.61,46.56,15.21,44.29,8.5,7.43,47.43,22.0,7.64,3.39
starfruit.png,34.0,77.26,46.84,65.22,11.78,28.0,8.22,11.67,7.44,1.78,2.63
stew.png,70.94,54.22,78.28,17.62,44.23,15.62,14.62,60.38,37.15,22.77,3.56
stir-fry.png,52.0,59.06,62.82,13.07,35.14,11.64,17.29,54.64,19.57,20.29,3.53
strawberry.png,29.27,89.58,87.38,71.42,5.5,27.35,5.81,9.5,2.85,3.81,4.58
sugar-snap-peas.png,27.42,87.0,59.21,24.89,15.16,2.74,3.32,22.74,4.16,0.84,4.16
sushi.png,47.06,66.35,79.12,11.0,30.79,1.57,2.29,60.07,24.14,18.71,3.88
sweet-and-sour-chicken.png,77.04,38.09,66.3,48.56,29.44,34.72,3.94,47.67,31.94,28.5,3.39
sweet-breakfast-cereal.png,72.63,28.15,55.04,78.48,14.96,13.35,16.04,16.04,25.74,13.87,3.26
sweet-potato-prepared.png,59.73,67.36,65.77,53.37,43.0,17.79,20.11,32.16,24.0,19.21,3.5
swiss-chard.png,39.33,79.81,46.95,30.08,29.38,21.46,25.85,32.62,20.69,24.46,3.0
taco.png,63.0,41.04,76.42,6.2,48.88,9.12,2.6,53.28,34.48,32.48,4.15
tamarind.png,53.56,61.25,53.62,44.9,32.5,49.6,27.4,29.9,22.8,21.2,2.94
taro.png,45.14,70.86,47.86,48.0,22.57,15.43,17.43,32.57,14.57,17.29,2.5
tart.png,75.84,35.21,80.68,83.11,14.17,22.56,10.89,19.11,32.17,9.33,3.68
tempeh.png,57.33,55.27,53.87,37.18,32.27,9.64,12.64,32.55,22.18,13.45,3.07
tempura.png,66.61,44.52,64.87,28.62,51.0,19.56,20.0,57.75,45.31,20.94,3.04
teriyaki-chicken.png,67.14,45.71,73.14,29.92,39.33,9.08,7.58,62.5,46.5,25.42,3.1
tikka-masala.png,77.94,48.47,65.35,32.8,38.3,24.9,19.0,59.1,37.0,46.7,2.82
toffee.png,76.11,34.04,72.33,87.62,21.19,1.95,2.67,7.57,27.43,0.33,3.52
tofu.png,50.33,71.56,43.61,15.6,22.53,8.0,9.07,30.27,18.67,12.0,3.5
tom-yum-soup.png,55.79,56.37,63.42,14.25,42.58,17.75,5.92,49.67,14.25,38.58,2.89
tomato-bruschetta.png,44.33,59.22,67.33,25.33,27.67,9.83,3.25,27.33,6.0,5.58,3.11
tomato-culinary-fruit.png,15.35,84.0,47.61,28.91,6.83,28.78,6.74,12.09,3.26,1.48,4.52
tomato-soup.png,47.35,57.35,50.2,27.11,30.44,12.22,2.39,33.28,11.0,10.89,3.6
tortilla-corn.png,52.23,45.55,60.68,12.43,26.05,6.57,6.95,30.0,12.62,6.1,4.18
tortilla-flour.png,41.06,51.35,49.0,6.65,12.29,3.12,0.94,22.12,10.53,1.0,4.0
trout.png,54.59,76.44,76.81,10.88,44.28,14.72,8.12,57.68,28.16,20.92,4.19
tuna.png,54.16,69.68,61.26,21.33,42.93,19.73,19.07,60.07,35.4,25.53,3.37
turkey.png,57.31,60.81,65.56,5.67,50.08,0.92,0.25,65.5,30.33,4.33,3.56
turnip.png,65.94,51.38,65.31,20.43,45.79,7.5,7.5,45.5,31.86,17.36,3.75
udon.png,51.89,55.32,61.58,7.43,42.5,9.86,8.07,50.79,18.93,18.29,3.32
vegetable-curry.png,49.22,75.78,65.94,15.75,35.06,11.75,8.25,46.56,18.5,42.19,3.72
venison.png,68.81,47.7,69.89,1.65,32.74,1.52,0.22,57.39,42.48,4.3,3.7
vermicelli.png,40.21,59.11,44.86,11.24,16.88,5.12,5.12,20.8,10.6,6.32,3.57
waffle.png,74.81,26.71,67.67,68.38,10.9,1.67,1.24,15.62,26.62,3.62,3.71
walnuts.png,60.13,82.73,56.87,22.5,33.93,6.43,10.0,35.36,24.29,8.43,3.8
water-chestnut.png,22.68,82.23,36.5,6.88,2.25,0.88,18.38,24.25,2.0,8.12,2.27
watermelon.png,28.4,81.12,86.64,80.76,5.64,8.6,6.0,10.28,6.08,4.16,4.64
wheat.png,49.96,75.7,37.13,23.54,27.46,10.15,17.85,30.23,24.08,10.0,2.7
yam.png,46.83,67.22,39.61,56.3,12.6,12.0,16.0,22.9,15.3,15.7,2.3
yogurt-plain.png,45.77,64.0,44.26,34.25,7.29,24.08,8.88,17.5,25.21,4.71,3.55
zucchini-prepared.png,21.23,83.14,58.05,7.89,24.53,6.63,12.05,23.26,2.42,15.21,3.55
zucchini-raw.png,25.62,85.25,36.0,16.56,9.5,6.5,13.62,20.62,9.62,5.81,4.31
